stage,epoch,seed,strategy,lambda,budget,job_id,pre_test_accuracy,post_test_accuracy,batch_utility,pre_pairwise_accuracy,post_pairwise_accuracy,selected_pairs,selected_rows,cluster_coverage,cluster_entropy,image_reuse_rate,mean_pair_cosine_similarity,per_class_delta,individual_utilities
final_comparison,3,42,uncertainty,0.5,100,001_stage-final_comparison_epoch-3_seed-42_strategy-uncertainty_lambda-0p5_budget-100,0.36666666666666664,0.7,0.3333333333333333,0.8393782383419689,0.9350180505415162,100,361,16,2.644547675847673,0.06999999999999995,0.9226126676291178,"{'(1 x 1)': 0.75, 'c(6 x 2)': 0.25, '(√13 x √13)': 0.25, 'HTR': 0.0}",
final_comparison,3,123,uncertainty,0.5,100,011_stage-final_comparison_epoch-3_seed-123_strategy-uncertainty_lambda-0p5_budget-100,0.36666666666666664,0.7,0.3333333333333333,0.8651685393258427,0.9425493716337523,100,379,17,2.7007212879108953,0.09499999999999997,0.9727162126522927,"{'(1 x 1)': 0.375, 'c(6 x 2)': 0.0, '(√13 x √13)': 0.75, 'HTR': 0.16666666666666663}",
final_comparison,3,79,cluster_diverse,0.5,100,007_stage-final_comparison_epoch-3_seed-79_strategy-cluster_diverse_lambda-0p5_budget-100,0.5666666666666667,0.36666666666666664,-0.2,0.75,0.8378378378378378,100,371,20,2.8894092404465463,0.09999999999999998,0.9788284127547267,"{'(1 x 1)': 0.0, 'c(6 x 2)': -0.875, '(√13 x √13)': 0.5, 'HTR': -0.5}",
final_comparison,3,123,cluster_diverse,0.5,100,012_stage-final_comparison_epoch-3_seed-123_strategy-cluster_diverse_lambda-0p5_budget-100,0.36666666666666664,0.5666666666666667,0.2,0.8651685393258427,0.9230769230769231,100,381,19,2.812509407990979,0.10999999999999999,0.9727718305203181,"{'(1 x 1)': 0.0, 'c(6 x 2)': 0.0, '(√13 x √13)': 0.75, 'HTR': 0.0}",
final_comparison,3,123,random,0.5,100,010_stage-final_comparison_epoch-3_seed-123_strategy-random_lambda-0p5_budget-100,0.36666666666666664,0.4666666666666667,0.10000000000000003,0.8651685393258427,0.9190647482014388,100,378,20,2.8561117901796442,0.09499999999999997,0.9724281481729442,"{'(1 x 1)': -0.25, 'c(6 x 2)': 0.0, '(√13 x √13)': 0.625, 'HTR': 0.0}",
final_comparison,3,79,random,0.5,100,005_stage-final_comparison_epoch-3_seed-79_strategy-random_lambda-0p5_budget-100,0.5666666666666667,0.4666666666666667,-0.09999999999999998,0.75,0.903107861060329,100,363,20,2.8945603550981587,0.10999999999999999,0.9759834013526738,"{'(1 x 1)': 0.0, 'c(6 x 2)': -0.375, '(√13 x √13)': 0.375, 'HTR': -0.5}",
final_comparison,3,79,uncertainty_diversity,0.5,100,008_stage-final_comparison_epoch-3_seed-79_strategy-uncertainty_diversity_lambda-0p5_budget-100,0.5666666666666667,0.5,-0.06666666666666665,0.75,0.9323583180987203,100,363,19,2.7837081514549173,0.08999999999999997,0.9804715400720916,"{'(1 x 1)': 0.0, 'c(6 x 2)': -0.5, '(√13 x √13)': 0.125, 'HTR': 0.16666666666666674}",
final_comparison,3,123,uncertainty_diversity,0.5,100,013_stage-final_comparison_epoch-3_seed-123_strategy-uncertainty_diversity_lambda-0p5_budget-100,0.36666666666666664,0.6666666666666666,0.3,0.8651685393258427,0.9303571428571429,100,382,17,2.7054215856116484,0.07499999999999996,0.9725475502582835,"{'(1 x 1)': 0.375, 'c(6 x 2)': 0.0, '(√13 x √13)': 0.75, 'HTR': 0.0}",
final_comparison,3,42,random,0.5,100,000_stage-final_comparison_epoch-3_seed-42_strategy-random_lambda-0p5_budget-100,0.36666666666666664,0.6,0.23333333333333334,0.8393782383419689,0.8994614003590664,100,364,19,2.7811585695027796,0.06499999999999995,0.9293455957590259,"{'(1 x 1)': 0.625, 'c(6 x 2)': 0.0, '(√13 x √13)': 0.25, 'HTR': 0.0}",
final_comparison,3,42,uncertainty_diversity,0.5,100,003_stage-final_comparison_epoch-3_seed-42_strategy-uncertainty_diversity_lambda-0p5_budget-100,0.36666666666666664,0.4666666666666667,0.10000000000000003,0.8393782383419689,0.8797127468581688,100,364,17,2.6899857029797136,0.06499999999999995,0.9220007566138982,"{'(1 x 1)': 0.125, 'c(6 x 2)': 0.0, '(√13 x √13)': 0.25, 'HTR': 0.0}",
final_comparison,3,42,core_set,0.5,100,004_stage-final_comparison_epoch-3_seed-42_strategy-core_set_lambda-0p5_budget-100,0.36666666666666664,0.43333333333333335,0.06666666666666671,0.8393782383419689,0.9175438596491228,100,377,20,2.812066678557123,0.05500000000000005,0.926608070947514,"{'(1 x 1)': 0.125, 'c(6 x 2)': 0.0, '(√13 x √13)': -0.125, 'HTR': 0.33333333333333337}",
final_comparison,3,42,cluster_diverse,0.5,100,002_stage-final_comparison_epoch-3_seed-42_strategy-cluster_diverse_lambda-0p5_budget-100,0.36666666666666664,0.6333333333333333,0.26666666666666666,0.8393782383419689,0.8586762075134168,100,366,20,2.7977095906086413,0.07499999999999996,0.924869048673796,"{'(1 x 1)': 0.75, 'c(6 x 2)': 0.0, '(√13 x √13)': 0.25, 'HTR': 0.0}",
final_comparison,3,79,uncertainty,0.5,100,006_stage-final_comparison_epoch-3_seed-79_strategy-uncertainty_lambda-0p5_budget-100,0.5666666666666667,0.8333333333333334,0.2666666666666667,0.75,0.9375,100,360,18,2.744937220622486,0.09999999999999998,0.9824211798108154,"{'(1 x 1)': 0.75, 'c(6 x 2)': 0.0, '(√13 x √13)': 0.125, 'HTR': 0.16666666666666674}",
final_comparison,3,123,core_set,0.5,100,014_stage-final_comparison_epoch-3_seed-123_strategy-core_set_lambda-0p5_budget-100,0.36666666666666664,0.6333333333333333,0.26666666666666666,0.8651685393258427,0.9302325581395349,100,381,20,2.871136039501966,0.06000000000000005,0.972491286549468,"{'(1 x 1)': 0.25, 'c(6 x 2)': 0.0, '(√13 x √13)': 0.625, 'HTR': 0.16666666666666663}",
final_comparison,3,79,core_set,0.5,100,009_stage-final_comparison_epoch-3_seed-79_strategy-core_set_lambda-0p5_budget-100,0.5666666666666667,0.36666666666666664,-0.2,0.75,0.7235915492957746,100,384,20,2.9110313808875476,0.08499999999999996,0.97733258059252,"{'(1 x 1)': 0.375, 'c(6 x 2)': -0.75, '(√13 x √13)': -0.5, 'HTR': 0.16666666666666674}",
